GEOID,latitude,longitude
271090016021,44.05216179,-92.44078467
271090014011,44.04708387,-92.49803472
271410315002,45.55420456,-94.13920249
270654801004,46.07351094,-93.14634454
270654801002,45.93525683,-93.20462981
271230413022,45.01577166,-93.18218804
271230342014,44.94684805,-93.09201557
271230342012,44.94440308,-93.09089286
270530268127,45.13951421,-93.38152801
270530268125,45.11645785,-93.38487724
270530260073,44.86654966,-93.44615297
270530260074,44.88831571,-93.41281359
270530260076,44.88275462,-93.40380237
270530260075,44.86616377,-93.4022355
270530268126,45.12636688,-93.36687354
270030507105,45.14542479,-93.28709843
270030508294,45.13067563,-93.22289982
270030508272,45.15307798,-93.2597468
270030502374,45.1518416,-93.09555434
270030506111,45.18388802,-93.36040744
270030506112,45.17982978,-93.34544406
270030502084,45.21455286,-93.31789204
270030507074,45.21036129,-93.31993711
270030507072,45.20476628,-93.30025554
270530224004,44.95291309,-93.37626448
270531008001,45.02131406,-93.30002128
270531008002,45.0158933,-93.30002094
270531108002,44.91780591,-93.28145301
270530239021,44.8701122,-93.38767005
270531062003,44.96096375,-93.24283378
270530248011,44.87269995,-93.26299576
270030502294,45.16031868,-93.13791374
270030511024,45.10414577,-93.25556085
270030502285,45.23017368,-93.47186925
270030508292,45.13160933,-93.19469187
270030508282,45.13628244,-93.18274243
270030508271,45.15622668,-93.25180324
270030502381,45.23782895,-93.31102824
270030508233,45.20319323,-93.25814615
270030511021,45.09535329,-93.25340352
270030501083,45.39308409,-93.36228136
270030507071,45.20296447,-93.31234653
270030508243,45.18389835,-93.2413148
270030515022,45.04496911,-93.23199511
270030506121,45.18973842,-93.35627466
270030508221,45.20092647,-93.22694962
270030508241,45.18044077,-93.25112522
270030508291,45.13735357,-93.19981672
270030508232,45.20388595,-93.2395681
270030512064,45.05096105,-93.26747591
270030512063,45.06643005,-93.25581146
270030508231,45.2067339,-93.24913568
270030508252,45.18987956,-93.25139798
270030511022,45.08853402,-93.25389079
270030507023,45.18310036,-93.28790691
270030507022,45.18212394,-93.27841962
270030504024,45.19862069,-93.40638425
270030508194,45.18822395,-93.19288661
270030508193,45.1947885,-93.18671432
270030502383,45.25357151,-93.31124014
270030502164,45.21746513,-93.18576723
270030512033,45.06407275,-93.23843553
270030508222,45.20822006,-93.22627132
270030502402,45.2550353,-93.40005557
270030507044,45.16508622,-93.29086145
270030505012,45.19073735,-93.3859822
270030502392,45.24711985,-93.27758942
270030502391,45.24134451,-93.29812079
270030502273,45.22705874,-93.40257754
270030508251,45.19105591,-93.25864585
270030508263,45.16315418,-93.24639628
270030508215,45.17485333,-93.23302015
270030502083,45.21599986,-93.33383716
270030502373,45.15647131,-93.07195382
270030502372,45.16756733,-93.10262574
270030502262,45.24077795,-93.3935648
270030508293,45.14721663,-93.21404591
270030516004,45.38221259,-93.12435881
270030502363,45.13431035,-93.07265706
270030508261,45.15230653,-93.24046657
270030507103,45.13276439,-93.27725128
270030502295,45.17491917,-93.12989201
270030512061,45.05408229,-93.27630655
270030501072,45.39694283,-93.45317162
270030511032,45.10404325,-93.23594391
270030508214,45.16453173,-93.22452859
270030502343,45.28958654,-93.17310748
270030502333,45.19026228,-93.11394566
271090003002,44.01294404,-92.45290339
271090004001,44.01932809,-92.47227584
270570701004,47.31032944,-94.73024305
271090022004,43.89811253,-92.50163068
271090009013,44.00096385,-92.40033177
271090010002,43.99806878,-92.44765095
271090009021,43.99394725,-92.43220449
271090020001,43.90282607,-92.199723
271090020003,43.98792396,-92.19695208
271090020002,43.87043892,-92.18059967
271090017032,44.0873508,-92.50573703
271090022002,43.89305318,-92.61733795
271090015021,44.04935028,-92.48434819
271090023003,44.04020895,-92.36784841
271090012031,43.9568428,-92.49684583
271090016031,44.08332162,-92.4541347
271090021001,43.85768508,-92.50585438
271090020005,44.06401923,-92.19908757
271090016032,44.08770803,-92.37816005
271090010003,43.98508399,-92.45433924
271090003003,44.0088174,-92.45398167
270530216011,44.99855327,-93.38458093
270530216012,44.98821396,-93.39074563
270530216013,45.00519112,-93.39154562
270530216021,44.99216,-93.35480865
271090001002,44.0216126,-92.46177718
271090002001,44.02237839,-92.45313681
271090002002,44.02203386,-92.44460046
270799504004,44.20758024,-93.59145948
270799505001,44.39481596,-93.70880429
271090002003,44.01706248,-92.43108625
271090002004,44.01464432,-92.44764239
271090002005,44.01221063,-92.43889181
271090003001,44.01474076,-92.45959461
270530215042,45.03039622,-93.39480861
270530215043,45.02510902,-93.39624231
270530215044,45.02742434,-93.38537067
271090004003,44.01536221,-92.48111925
271090005003,44.02300883,-92.47349211
271090004002,44.01200673,-92.46967895
